x,y,shapeID,colorNum,color
9281,13917,1,0,Black
9280,13917,1,0,Black
9279,13918,1,0,Black
9280,13919,1,0,Black
9281,13919,1,0,Black
9282,13920,1,0,Black
9282,13935,1,0,Black
9281,13936,1,0,Black
9282,13935,1,0,Black
9284,13935,1,0,Black
9285,13936,1,0,Black
9286,13935,1,0,Black
9287,13935,1,0,Black
9288,13936,1,0,Black
9289,13936,1,0,Black
9290,13935,1,0,Black
9291,13935,1,0,Black
9292,13936,1,0,Black
9294,13936,1,0,Black
9295,13935,1,0,Black
9296,13936,1,0,Black
9297,13935,1,0,Black
9298,13935,1,0,Black
9299,13936,1,0,Black
9301,13936,1,0,Black
9302,13935,1,0,Black
9303,13935,1,0,Black
9304,13936,1,0,Black
9305,13936,1,0,Black
9306,13935,1,0,Black
9307,13935,1,0,Black
9308,13936,1,0,Black
9310,13936,1,0,Black
9311,13935,1,0,Black
9312,13936,1,0,Black
9313,13935,1,0,Black
9314,13935,1,0,Black
9315,13936,1,0,Black
