x,y,shapeID,colorNum,classification,color
14624,13679,7,0,,Black
14624,13639,7,0,,Black
14623,13638,7,0,,Black
14624,13637,7,0,,Black
14624,13636,7,0,,Black
14623,13635,7,0,,Black
14581,13635,7,0,,Black
14580,13636,7,0,,Black
14578,13634,7,0,,Black
14579,13633,7,0,,Black
14579,13411,7,0,,Black
14578,13410,7,0,,Black
14536,13410,7,0,,Black
14535,13411,7,0,,Black
14533,13409,7,0,,Black
14534,13408,7,0,,Black
14534,13096,7,0,,Black
14533,13095,7,0,,Black
14492,13095,7,0,,Black
14491,13096,7,0,,Black
14490,13096,7,0,,Black
14488,13094,7,0,,Black
14489,13093,7,0,,Black
14489,13092,7,0,,Black
14488,13091,7,0,,Black
14488,13090,7,0,,Black
14489,13089,7,0,,Black
14488,13088,7,0,,Black
14489,13087,7,0,,Black
14489,13006,7,0,,Black
14488,13005,7,0,,Black
14446,13005,7,0,,Black
14445,13006,7,0,,Black
14443,13004,7,0,,Black
14444,13003,7,0,,Black
14443,13002,7,0,,Black
14443,13001,7,0,,Black
14444,13000,7,0,,Black
14444,12976,7,0,,Black
14623,13892,8,0,,Black
14624,13891,8,0,,Black
14639,13891,8,0,,Black
14639,13888,8,0,,Black
14640,13887,8,0,,Black
14847,13887,8,0,,Black
14848,13888,8,0,,Black
14848,13894,8,0,,Black
14847,13895,8,0,,Black
14640,13895,8,0,,Black
14639,13896,8,0,,Black
14624,13896,8,0,,Black
14623,13895,8,0,,Black
14804,12928,9,0,,Black
14768,12928,9,0,,Black
14768,12964,9,0,,Black
14767,12965,9,0,,Black
14758,12965,9,0,,Black
14757,12966,9,0,,Black
14753,12966,9,0,,Black
14759,12966,9,0,,Black
14761,12968,9,0,,Black
14761,12969,9,0,,Black
14760,12970,9,0,,Black
14767,12970,9,0,,Black
14768,12971,9,0,,Black
14768,12975,9,0,,Black
14767,12976,9,0,,Black
14625,12976,9,0,,Black
14625,13135,9,0,,Black
14626,13136,9,0,,Black
14625,13137,9,0,,Black
14625,13138,9,0,,Black
14626,13139,9,0,,Black
14626,13137,9,0,,Black
14627,13136,9,0,,Black
14628,13137,9,0,,Black
14628,13138,9,0,,Black
14629,13139,9,0,,Black
14630,13139,9,0,,Black
14631,13138,9,0,,Black
14632,13139,9,0,,Black
14668,13139,9,0,,Black
14669,13138,9,0,,Black
14671,13140,9,0,,Black
14670,13141,9,0,,Black
14670,13183,9,0,,Black
14671,13184,9,0,,Black
14713,13184,9,0,,Black
14714,13183,9,0,,Black
14716,13185,9,0,,Black
14715,13186,9,0,,Black
14715,13190,9,0,,Black
14716,13191,9,0,,Black
14715,13192,9,0,,Black
14715,13223,9,0,,Black
14716,13224,9,0,,Black
14716,13225,9,0,,Black
14715,13226,9,0,,Black
14715,13228,9,0,,Black
14716,13229,9,0,,Black
14717,13229,9,0,,Black
14717,13228,9,0,,Black
14718,13227,9,0,,Black
14719,13228,9,0,,Black
14719,13229,9,0,,Black
14800,13229,9,0,,Black
14800,13228,9,0,,Black
14801,13227,9,0,,Black
14802,13228,9,0,,Black
14802,13229,9,0,,Black
14803,13229,9,0,,Black
14804,13228,9,0,,Black
14804,13226,9,0,,Black
14803,13225,9,0,,Black
14803,13224,9,0,,Black
14804,13223,9,0,,Black
816,12208,10,0,,Black
816,12367,10,0,,Black
863,12367,10,0,,Black
864,12368,10,0,,Black
864,12543,10,0,,Black
911,12543,10,0,,Black
912,12544,10,0,,Black
912,12719,10,0,,Black
975,12719,10,0,,Black
975,12560,10,0,,Black
954,12560,10,0,,Black
953,12559,10,0,,Black
952,12560,10,0,,Black
935,12560,10,0,,Black
934,12559,10,0,,Black
934,12544,10,0,,Black
933,12543,10,0,,Black
933,12256,10,0,,Black
931,12256,10,0,,Black
931,12543,10,0,,Black
932,12543,10,0,,Black
933,12544,10,0,,Black
933,12559,10,0,,Black
932,12560,10,0,,Black
928,12560,10,0,,Black
927,12559,10,0,,Black
927,12256,10,0,,Black
896,12256,10,0,,Black
895,12255,10,0,,Black
895,12253,10,0,,Black
896,12252,10,0,,Black
903,12252,10,0,,Black
896,12252,10,0,,Black
895,12251,10,0,,Black
895,12208,10,0,,Black
14804,11312,11,0,,Black
14544,11312,11,0,,Black
14544,11519,11,0,,Black
14543,11520,11,0,,Black
14542,11519,11,0,,Black
14542,11312,11,0,,Black
14542,11519,11,0,,Black
14541,11520,11,0,,Black
14496,11520,11,0,,Black
14496,11695,11,0,,Black
14543,11695,11,0,,Black
14544,11696,11,0,,Black
14544,11775,11,0,,Black
14575,11775,11,0,,Black
14575,11696,11,0,,Black
14576,11695,11,0,,Black
14607,11695,11,0,,Black
14607,11664,11,0,,Black
14608,11663,11,0,,Black
14614,11663,11,0,,Black
14615,11664,11,0,,Black
14615,11695,11,0,,Black
14615,11663,11,0,,Black
14616,11662,11,0,,Black
14616,11659,11,0,,Black
14617,11658,11,0,,Black
14617,11656,11,0,,Black
14619,11654,11,0,,Black
14619,11653,11,0,,Black
14623,11649,11,0,,Black
14624,11650,11,0,,Black
14623,11649,11,0,,Black
14623,11648,11,0,,Black
14624,11647,11,0,,Black
14655,11647,11,0,,Black
14655,11600,11,0,,Black
14656,11599,11,0,,Black
14804,11599,11,0,,Black
14000,10845,12,0,,Black
14000,11055,12,0,,Black
14031,11055,12,0,,Black
14032,11056,12,0,,Black
14033,11055,12,0,,Black
14047,11055,12,0,,Black
14048,11056,12,0,,Black
14048,11151,12,0,,Black
14079,11151,12,0,,Black
14079,10980,12,0,,Black
14040,10980,12,0,,Black
14039,10979,12,0,,Black
14039,10845,12,0,,Black
4784,9865,13,0,,Black
4784,9983,13,0,,Black
4847,9983,13,0,,Black
4847,9904,13,0,,Black
4800,9904,13,0,,Black
